id;title;section;html_id;tag;url;parent_id;meta_type;beyondlinks;forwardlinks;backwardlinks;basiclinks;lecturelinks;wiki_ids;wiki_labels;wiki_descriptions;wikipedia_ids;wikipedia_labels;wikipedia_descriptions;dbpedia_ids;dbpedia_labels;dbpedia_descriptions
01.2.3;OS Introduction;2.3. OS, Kernel, User Interface;os-boundary;h3;https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#/slide-os-boundary;01.2;topic;[];['https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#slide-kernel'];[];['https://en.wikipedia.org/wiki/Virtual_assistant'];[];['Q9662', 'Q278368', 'Q23808', 'Q9662', 'Q47146'];['kernel', 'user', 'computer interface', 'kernel', 'user interface'];"['main component of most computer operating systems', 'person who uses a computer or network service', 'concept of computer science; point of interaction between two things', 'main component of most computer operating systems', 'means by which a user interacts with and controls a machine']";[617754];['XNU'];"['the computer operating system (<span class=""searchmatch"">OS</span>) <span class=""searchmatch"">kernel</span> developed at Apple Inc. since December 1996 for use in the Mac <span class=""searchmatch"">OS</span> X (now mac<span class=""searchmatch"">OS</span>) operating system and released']";['Linux kernel', 'User (computing)', 'Application programming interface'];['Linux kernel', 'User (computing)', 'Application programming interface'];['The Linux kernel is a free and open-source, monolithic, Unix-like operating system kernel', 'A user is a person who utilizes a computer or network service. Users of computer systems', 'An application programming interface (API) is an interface or communication protocol between']
01.2.4;OS Introduction;2.4. OS Architecture and Kernel Variants;kernel-variants;h3;https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#/slide-kernel-variants;01.2;topic;['https://makelinux.github.io/kernel/map/', 'https://en.wikipedia.org/wiki/Hybrid_kernel'];['https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#slide-L4'];['https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#slide-modern-oss'];[];['https://oer.gitlab.io/OS/Operating-Systems-Interrupts.html#slide-kernel-mode'];['Q12271', 'Q9662', 'Q75396792', 'Q115161046'];['architecture', 'kernel', 'Variants', 'architecture and society'];['both the process and product of planning, designing and construction', 'main component of most computer operating systems', 'print in the National Gallery of Art (NGA 95059)', 'architecture and society'];[4345041];['Hybrid kernel'];"['hybrid <span class=""searchmatch"">kernel</span> is an operating system <span class=""searchmatch"">kernel</span> <span class=""searchmatch"">architecture</span> that attempts to combine aspects <span class=""searchmatch"">and</span> benefits of microkernel <span class=""searchmatch"">and</span> monolithic <span class=""searchmatch"">kernel</span> <span class=""searchmatch"">architectures</span> used']";['Poland', 'Linux kernel', 'Curtiss P-40 Warhawk variants', 'Rump kernel'];['Poland', 'Linux kernel', 'Curtiss P-40 Warhawk variants', 'Rump kernel'];"[""Poland (Polish: Polska [ˈpɔlska] ()), officially the Republic of Poland (Polish: Rzeczpospolita Polska [ʐɛt͡ʂpɔˈspɔlita ˈpɔlska] ()), is a country located in Central Europe. It is divided into 16 administrative subdivisions, covering an area of 312,696 square kilometres (120,733 sq mi), and has a largely temperate seasonal climate. With a population of nearly 38.5 million people, Poland is the fifth most populous member state of the European Union. Poland's capital and largest metropolis is Warsaw. Other major cities include Kraków, Łódź, Wrocław, Poznań, Gdańsk, and Szczecin."", 'The Linux kernel is a free and open-source, monolithic, Unix-like operating system kernel', ' the P-37. Many variants were built, some in large numbers, under names including the Hawk, Tomahawk and Kittyhawk.', 'The NetBSD rump kernel is the first implementation of the ""anykernel"" concept where drivers either']"
01.3.1;OS Introduction;3.1. Multitasking;multitasking;h3;https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#/slide-multitasking;01.3;topic;[];[];[];[];['https://oer.gitlab.io/OS/Operating-Systems-Overview.html#slide-os-plan', 'https://oer.gitlab.io/OS/Operating-Systems-Overview.html#slide-os-plan', 'https://oer.gitlab.io/OS/Operating-Systems-Threads.html#slide-thread-reasons'];['Q192969'];['multitasking'];['concurrent execution of multiple processes over a certain period of time'];[19704896];['Multitasking'];"['Look up <span class=""searchmatch"">multitasking</span> in Wiktionary, the free dictionary. <span class=""searchmatch"">Multitasking</span> may refer to: Computer <span class=""searchmatch"">multitasking</span>, the concurrent execution of multiple tasks']";['IOS'];['IOS'];"[""iOS (formerly iPhone OS) is a mobile operating system created and developed by Apple Inc. exclusively for its hardware. It is the operating system that presently powers many of the company's mobile devices, including the iPhone, and iPod Touch; it also powered the iPad prior to the introduction of iPadOS in 2019. It is the second most popular mobile operating system globally after Android.""]"
01.3.2;OS Introduction;3.2. Computations;computations-processes-threads;h3;https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#/slide-computations-processes-threads;01.3;topic;[];['https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#slide-process-examples'];[];[];['https://oer.gitlab.io/OS/Operating-Systems-Threads.html#slide-java-threads', 'https://oer.gitlab.io/OS/Operating-Systems-Overview.html#slide-os-plan', 'https://oer.gitlab.io/OS/Operating-Systems-Scheduling.html'];['Q3681793'];['CoCoA'];['computer algebra system'];[5926];['Computation'];"['perform <span class=""searchmatch"">computations</span> are known as computers. An especially well-known discipline of the study of <span class=""searchmatch"">computation</span> is computer science. <span class=""searchmatch"">Computation</span> can be seen']";['Chronology of computation of π'];['Chronology of computation of π'];['The table below is a brief chronology of computed numerical values of, or bounds on, the mathematical constant pi (π). For more detailed explanations for some of these calculations, see Approximations of π.']
01.3.3;OS Introduction;3.3. Processes vs Threads;thread-quadrants;h3;https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#/slide-thread-quadrants;01.3;topic;[];[];[];[];[];['Q27726347', 'Q1412119'];['Processes', 'Threads'];['journal', '1984 television film directed by Mick Jackson'];[45303];['Thread (computing)'];"['scheduled user <span class=""searchmatch"">threads</span> are known as fibers; different <span class=""searchmatch"">processes</span> may schedule user <span class=""searchmatch"">threads</span> differently. User <span class=""searchmatch"">threads</span> may be executed by kernel <span class=""searchmatch"">threads</span> in various']";['Pterygoid processes of the sphenoid', 'POSIX Threads'];['Pterygoid processes of the sphenoid', 'POSIX Threads'];"['The pterygoid processes of the sphenoid (from Greek pteryx, pterygos, ""wing""), one on either side', 'POSIX Threads, usually referred to as pthreads, is an execution model that exists independently']"
01.3.4;OS Introduction;3.4. Exercises and JiTT Tasks;jitt;h3;https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#/slide-jitt;01.3;topic;[];[];[];[];[];['Q357104', 'Q115465620', 'Q18615464', 'Q73939483'];['military exercise', 'Jitt', 'Tasks', 'Exercises and education as secondary prevention for recurrent low back pain'];['employment of military resources in training for military operations', 'Rapper in Raider Klan', '1425th strip of the webcomic xkcd', 'scientific article published on 01 January 2001'];[33453274];['Just-in-time teaching'];"['Just-in-time teaching (often abbreviated as <span class=""searchmatch"">JiTT</span>) is a pedagogical strategy that uses feedback between classroom activities <span class=""searchmatch"">and</span> work that students do at home, in']";['Spiritual Exercises of Ignatius of Loyola', 'Just-in-time teaching', 'Common Tasks for Assessment'];['Spiritual Exercises of Ignatius of Loyola', 'Just-in-time teaching', 'Common Tasks for Assessment'];['The Spiritual Exercises of Ignatius of Loyola (Latin original: Exercitia spiritualia), composed', 'Just-in-time teaching (often abbreviated as JiTT) is a pedagogical strategy that uses feedback', 'The Common Tasks for Assessment (or CTAs) are standardized tests that are part of a compulsory']
01.4.1;OS Introduction;4.1. Summary;4-1;h3;https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#/slide-4-1;01.4;structure;[];[];[];[];[];['Q333291'];['abstract'];['summary of a research document'];[4168970];['Summary'];"['Look up <span class=""searchmatch"">summary</span>\xa0or summarisation in Wiktionary, the free dictionary. <span class=""searchmatch"">Summary</span> may refer to: Abstract (<span class=""searchmatch"">summary</span>), shortening a passage or a write-up without']";['Turkish people'];['Turkish people'];['Turkish people or the Turks (Turkish: Türkler), also known as Anatolian Turks (Turkish: Anadolu Türkleri), are a Turkic ethnic group and nation living mainly in Turkey and speaking Turkish, the most widely spoken Turkic language. They are the largest ethnic group in Turkey, as well as by far the largest ethnic group among the Turkic peoples. Ethnic Turkish minorities exist in the former lands of the Ottoman Empire. In addition, a Turkish diaspora has been established with modern migration, particularly in Western Europe.']
01.1.2.1;OS Introduction;1.2.1. OS Responsibilities;os-responsibilities;h4;https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#/slide-os-responsibilities;01.1.2;topic;[];[];[];[];[];;;;[14059031];['Mac OS X Snow Leopard'];"['Mac <span class=""searchmatch"">OS</span> X Snow Leopard (version 10.6) is the seventh major release of mac<span class=""searchmatch"">OS</span>, Apple\'s desktop and server operating system for Macintosh computers. Snow Leopard']";;;
01.2.2.1;OS Introduction;2.2.1. Aside: API;API;h4;https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#/slide-API;01.2.2;topic;['https://docs.oracle.com/en/java/javase/18/docs/api/index.html'];[];[];['https://en.wikipedia.org/wiki/Application_programming_interface'];[];;;;[27697009];['API'];"['An application programming interface (<span class=""searchmatch"">API</span>) is a way for two or more computer programs to communicate with each other. It is a type of software interface']";;;
01.2.2.2;OS Introduction;2.2.2. OS Services;2-2-2;h4;https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#/slide-2-2-2;01.2.2;topic;[];[];[];[];[];;;;[40629989];['Fire OS'];"['available from Amazon\'s storefronts and <span class=""searchmatch"">services</span>. Amazon began referring to the Android derivative as Fire <span class=""searchmatch"">OS</span> with its third iteration of Fire tablets']";['Core Services'];['Core Services'];[' other APIs including Grand Central Dispatch, Blocks, CFNetwork, CarbonCore, OSServices, and WebServicesCore.']
01.2.3.1;OS Introduction;2.3.1. How to Talk to OSs;talk-to-os;h4;https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#/slide-talk-to-os;01.2.3;topic;[];[];[];[];[];['Q603773', 'Q1142825', 'Q20680322', 'Q478780'];['lecture', 'how-to', 'to talk', 'Talk to Her'];['oral presentation intended to present information or teach people about a particular subject', 'description of how to do something', 'communicate by the use of words with the mouth', '2002 film by Pedro Almodóvar'];[5663964];['Tom Braden'];"['met Robert Frost, and he later moved <span class=""searchmatch"">to</span> Washington, D.C., and became part of a group of well-connected former <span class=""searchmatch"">OSS</span> men, some of whom were journalists such']";['Talk radio', 'How-to', 'Total Chalaco', 'Talento de Barrio (soundtrack)', 'Stanford University'];['Talk radio', 'How-to', 'Total Chalaco', 'Talento de Barrio (soundtrack)', 'Stanford University'];"['Talk radio is a radio format containing discussion about topical issues and consisting entirely', 'A how-to is an informal and often short video or text describing how to accomplish a specific task. A how-to is usually meant to help non-experts and consequently may leave out details that are important only to experts. Due to this, a how-to may be greatly simplified compared to a usual discussion of the subject. One of the earliest how-to books was published in 1569 and titled, A booke of the arte and maner, how to plant and graffe all sortes of trees: With divers other new practise, by one of the Abbey of Saint Vincent in Fraunce by Leonard Mascall.', 'Total Chalaco was a professional Peruvian football club based in Callao. The club last played', 'Talento de Barrio (English: Hood Talent) is a soundtrack album to the film of the same name', ""Stanford University, officially Leland Stanford Junior University, is a private research university in Stanford, California. Stanford is known for its academic achievements, wealth, close proximity to Silicon Valley, and selectivity; it ranks as one of the world's top universities.""]"
01.2.3.2;OS Introduction;2.3.2. User Space and Kernel Space;user-space-kernel-space;h4;https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#/slide-user-space-kernel-space;01.2.3;topic;[];['https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#slide-kernel-variants'];[];[];['https://oer.gitlab.io/OS/Operating-Systems-Interrupts.html#slide-kernel-mode', 'https://oer.gitlab.io/OS/Operating-Systems-Interrupts.html#slide-irq-handling', 'https://oer.gitlab.io/OS/Operating-Systems-Threads.html#slide-thread-switching'];['Q1142183'];['user space'];['software run under a kernel'];[93467];['User space and kernel space'];"['segregates virtual memory into <span class=""searchmatch"">user</span> <span class=""searchmatch"">space</span> <span class=""searchmatch"">and</span> <span class=""searchmatch"">kernel</span> <span class=""searchmatch"">space</span>. Primarily, this separation serves to provide memory protection <span class=""searchmatch"">and</span> hardware protection from malicious']";['User (computing)', 'Space rock', 'Linux kernel', 'Space rock', 'Filesystem in Userspace', 'Spacemen 3', 'Rump kernel', 'In-kernel web server'];['User (computing)', 'Space rock', 'Linux kernel', 'Space rock', 'Filesystem in Userspace', 'Spacemen 3', 'Rump kernel', 'In-kernel web server'];"['A user is a person who utilizes a computer or network service. Users of computer systems', 'Space rock is a rock music genre characterized by loose and lengthy song structures centered', 'The Linux kernel is a free and open-source, monolithic, Unix-like operating system kernel', 'Space rock is a rock music genre characterized by loose and lengthy song structures centered', 'Filesystem in Userspace (FUSE) is a software interface for Unix and Unix-like computer operating', ' Kember and Jason Pierce, known respectively under their pseudonyms Sonic Boom and J Spaceman', 'The NetBSD rump kernel is the first implementation of the ""anykernel"" concept where drivers either', 'An in-kernel web server is an unlimited HTTP server that runs in kernel space or equivalent. It is also called ""accelerator"".']"
01.2.3.3;OS Introduction;2.3.3. OS Size;2-3-3;h4;https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#/slide-2-3-3;01.2.3;topic;[];[];[];[];[];;;;[16161443];['IOS'];"['i<span class=""searchmatch"">OS</span> (formerly iPhone <span class=""searchmatch"">OS</span>) is a mobile operating system developed by Apple Inc. exclusively for its hardware. It is the operating system that powers many']";['Ossie Davis'];['Ossie Davis'];"['Ossie Davis (born Raiford Chatman Davis; December 18, 1917 – February 4, 2005) was an American film']"
01.2.4.1;OS Introduction;2.4.1. OS Kernel;kernel;h4;https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#/slide-kernel;01.2.4;topic;[];['https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#slide-system-calls', 'https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#slide-L4'];['https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#slide-kernel-variants'];[];['https://oer.gitlab.io/OS/Operating-Systems-Interrupts.html'];['Q9662'];['kernel'];['main component of most computer operating systems'];[21346982];['Kernel (operating system)'];"['named Mac <span class=""searchmatch"">OS</span> X) is based on Darwin, which uses a hybrid <span class=""searchmatch"">kernel</span> called XNU, which was created by combining the 4.3BSD <span class=""searchmatch"">kernel</span> and the Mach <span class=""searchmatch"">kernel</span>. Microsoft']";;;
01.2.4.2;OS Introduction;2.4.2. System Calls;system-calls;h4;https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#/slide-system-calls;01.2.4;topic;[];[];[];[];[];['Q722192'];['system call'];['in computer science, the mechanism used by an application program to request service from the operating system or another application program'];[102908];['System call'];"['process scheduling. <span class=""searchmatch"">System</span> <span class=""searchmatch"">calls</span> provide an essential interface between a process and the operating <span class=""searchmatch"">system</span>. In most <span class=""searchmatch"">systems</span>, <span class=""searchmatch"">system</span> <span class=""searchmatch"">calls</span> can only be made']";['Systemically important financial institution'];['Systemically important financial institution'];['A systemically important financial institution (SIFI) or systemically important bank (SIB']
